Repeticion,Average_Precision,AUC_ROC,Brier
219,0.002113407963940439,0.000623241436609967,0.07865372197535411
220,0.0002467554166749042,-0.001550012768861797,0.07920023836723633
221,0.00022857530530545622,-0.001668211597196545,0.07832079676533105
222,0.004757487533135096,0.0009410567855488994,0.07683373191452875
223,-0.000701527645523059,-0.004305898786956863,0.07976881390572252
224,0.0010866613465255193,3.373564112696403e-05,0.07888341540554339
225,-0.0008296442616047006,-0.00039775286239107643,0.07804646925153527
226,0.00506379960370984,-0.0007318743451759646,0.07983701533077822
227,-0.0022992419003657893,-0.0012204911448979727,0.07976724472088764
228,0.00021240383256027062,0.0012171347794602827,0.07874493201305366
229,-0.00025697678435160354,-0.0015743787216637717,0.07754014194653067
230,0.0035142378385097928,0.00019322597617998927,0.08045122776445321
231,0.0008963477975382772,0.0017638976133999007,0.07790706592283839
232,0.0023966449699140413,0.0024177108074825426,0.07895517245229125
233,0.0019743553821608972,-0.0004129913545446451,0.07673702997600304
234,0.0028200986446057508,0.0006172636442971502,0.0780910779587996
235,0.0006643393186217539,-0.00020584287819103153,0.08072324909455361
236,0.001693215816296556,-0.0003017699500933446,0.07895879860427396
237,0.0003777027898366758,-0.0013556115859748585,0.0789628568911726
238,7.158999936590638e-05,-0.0004651099451484786,0.07737904793130523
239,-0.0008104225828478029,-0.0003529677785411023,0.07791183111667851
240,-0.001042364066437651,0.0002837578447923983,0.07739592754283439
241,0.0008097631011767525,0.00033101441873129023,0.07788799186046663
242,-0.0008671609439632744,-4.510999801876636e-05,0.08128535856418725
243,0.0013440523144325756,0.0003171508478698737,0.07898258266408248
244,-0.002753463059995076,-0.0010025256329716514,0.07584141567521813
245,0.0020673456265049017,-0.000158630043381347,0.07794808552778992
246,0.0009633101222386586,0.0016363219241032345,0.0770725562247069
247,0.005132599601661625,0.002261987460328352,0.0759858236622393
248,0.0033483611191186813,0.00020170405921349222,0.0774647069998203
249,0.002290936906634733,0.002078169016629716,0.08068665867213456
250,0.005875141146037266,0.002293921646455921,0.07852146779682703
251,0.004660927922092273,0.0010299679301908338,0.0797584841781187
252,0.002710198269030295,0.0007629085440077343,0.07827110802002038
253,0.0033386837359930532,-0.0002441407340258994,0.0770271692692806
254,0.0002925419091791004,-0.0008118282032114621,0.07751110398866604
255,0.0013924196004684308,-0.0001347958444370967,0.07834576179153196
256,-2.3325343133207e-05,4.312245206961052e-05,0.07754593640818958
257,0.0007022864812094576,0.0009115125837886318,0.07802026853986377
258,0.0007166164892366544,0.00045732659103803197,0.07754541984180643
259,0.002664526866219541,0.0012846030314441759,0.07912907258231491
260,0.002786269262824659,0.0011047248111893948,0.07743630340923469
261,0.0033320711674693637,0.001008447547278024,0.07606521357282034
262,0.00018148507945525694,0.0008897210006366674,0.07829566428874671
263,0.001813381566012684,0.0010659822617621328,0.07660262261755654
264,-0.000960874359513586,-0.001794570948634333,0.07711076406404546
265,0.0026514455211361088,0.0005826492862097687,0.07799745838491579
266,-0.0017988025151482456,-0.0008135018670820671,0.07647891443449642
267,-0.0037823077497222135,-0.0015182908847031218,0.08004849780261697
268,-0.00032590939568338806,5.351240805095969e-05,0.07897479890541184
269,-0.0015484494148521044,-0.0015643598466940078,0.07689632895758963
270,-0.0008201462138219817,0.00011130017885552235,0.0786559320641052
271,0.0034131922764113476,0.0013407550150779102,0.0791859927711307
272,0.0038502952955861702,0.001953424357889366,0.07703835053814292
273,0.0027516545391479408,0.0008733754142730143,0.07566382805903532
274,0.004713354762781896,0.0005519829639655249,0.08151843774770551
275,0.0021497491375987443,0.0006827102263018414,0.07936853500210392
276,0.0009484268227720749,-0.0005625417321000192,0.0785359875432424
277,-0.0014576778223648335,-0.0012326520862717683,0.07837825168032267
278,0.001454082079329455,-0.00039224905841250823,0.07897593813819581
279,0.0007899192938238819,-0.0006296505547145337,0.07927752277640854
280,0.0015790051221782897,-0.0007226824402806198,0.07583090370068848
281,0.0031302028285825623,-0.0002171735433307287,0.07663245218597592
282,0.0010432050925383018,-0.00042316053475899285,0.07664019980544748
283,-0.0013986763960923687,-0.0003280554946634151,0.07807944747301845
284,0.0013883905178477818,-0.0004522866982565876,0.07951022231687066
285,0.001087958923360055,0.0004240253673031269,0.07773650553452971
286,-0.0011301839940344172,-0.00030215434322566903,0.07799570287250127
287,0.0010729654309779568,0.0002569280610389413,0.07498444280073349
288,0.0028476277181819776,0.00025335479452548437,0.07901691866743099
289,0.0009667920228313975,0.00010714978222592375,0.07630163085340905
290,0.0003777333575214481,-0.0012450081574453264,0.07839048215772607
291,-4.2226810305578955e-05,-0.0008679236237989496,0.07840620070651177
292,0.001963491906743997,-0.00023212257518234747,0.078239613643979
293,0.0037430412740517838,0.000723585669746396,0.0779748886696347
294,0.0006901246366481373,-0.0005109368668626546,0.07819630635061217
295,0.0020126726328176248,2.8350868587212474e-05,0.07859311321562376
296,-0.00015009702614499076,-0.0009881518251302346,0.07692250850275864
297,-0.0007841145749089007,-0.0014527186036046302,0.07652648820710181
298,0.00405074109980702,0.0024168684264392892,0.07804329027032778
299,0.0010364442920254846,0.0007715810365955811,0.07832120997780398
